Country/Region,Province/State,Lat,Long,Total_deaths_01_2020,Total_deaths_02_2020,Total_deaths_03_2020,Total_deaths_04_2020,Total_deaths_05_2020,Total_deaths_06_2020,Total_deaths_07_2020,Total_deaths_08_2020,Total_deaths_09_2020,Total_deaths_10_2020,Total_deaths_11_2020,Total_deaths_12_2020,Total_deaths_01_2021,Total_deaths_02_2021,Total_deaths_03_2021,Total_deaths_04_2021,Total_deaths_05_2021,Total_deaths_06_2021,Total_deaths_07_2021,Total_deaths_08_2021,Total_deaths_09_2021,Total_deaths_10_2021,Total_deaths_11_2021,Total_deaths_12_2021,Total_deaths_01_2022,Total_deaths_02_2022,Total_deaths_03_2022,Total_deaths_04_2022,Total_deaths_05_2022,Total_deaths_06_2022,Total_deaths_07_2022,Total_deaths_08_2022,Total_deaths_09_2022,Total_deaths_10_2022,Total_deaths_11_2022,Total_deaths_12_2022,Total_deaths_01_2023,Total_deaths_02_2023,Total_deaths_03_2023
Poland,Unknown,51.9194,19.1451,0,0,33,644,1064,1463,1716,2039,2513,5631,17150,28554,37180,43769,53045,67502,73745,75021,75261,75345,75650,76999,83583,97054,105194,111317,115173,116059,116318,116424,116570,117093,117569,118124,118319,118533,118727,118884,119010
Portugal,Unknown,39.3999,-8.2245,0,0,160,989,1410,1576,1735,1822,1971,2507,4505,6906,12482,16317,16848,16974,17025,17096,17361,17743,17975,18157,18441,18955,19905,21063,21695,22280,23115,24149,24592,24855,25031,25228,25450,25714,26022,26117,26266
Qatar,Unknown,25.3548,51.1839,0,0,2,10,38,113,174,197,214,232,237,245,248,258,291,458,556,590,601,602,606,610,611,618,645,670,677,677,677,679,681,681,682,684,685,685,686,686,688
Romania,Unknown,45.9432,24.9668,0,0,82,717,1266,1651,2343,3621,4825,6968,11331,15767,18335,20350,23538,28109,30312,33786,34281,34570,37041,47751,56529,58752,60025,63414,65015,65486,65684,65739,65999,66709,67021,67186,67276,67374,67576,67704,67736
Russia,Unknown,61.52401,105.318756,0,0,17,1073,4693,9306,13939,17128,20630,27787,39491,56271,72029,84700,97219,108290,119464,132973,155952,180009,203549,234194,269900,302671,324672,344655,361348,368319,371464,373404,374683,376558,379438,382302,384103,385789,387113,388126,388478
Rwanda,Unknown,-1.9403,29.8739,0,0,0,0,1,2,5,16,29,35,49,92,196,261,307,335,353,438,808,1089,1273,1331,1342,1350,1440,1457,1459,1459,1459,1460,1466,1466,1466,1467,1467,1467,1468,1468,1468
Saint Kitts and Nevis,Unknown,17.357822,-62.782998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,13,23,28,28,33,42,43,43,43,43,46,46,46,46,46,46,46,47,47
Saint Lucia,Unknown,13.9094,-60.9789,0,0,0,0,0,0,0,0,0,0,2,5,13,35,60,74,79,84,89,104,201,255,280,295,328,358,365,368,371,383,385,391,393,407,408,409,409,409,409
Saint Vincent and the Grenadines,Unknown,12.9843,-61.2872,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10,11,12,12,12,12,21,68,74,81,94,106,106,106,107,112,115,115,116,116,116,119,123,123,123
Samoa,Unknown,-13.759,-172.1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,29,29,29,29,29,29,29,29,29,29
